model,metric,score,std_dev
Decision Tree,Accuracy,0.6569306320880998,0.021066293772439546
Decision Tree,Precision,0.660930135737595,0.018461217498394297
Decision Tree,Recall,0.6569770879526977,0.021089468590861537
Decision Tree,F1 Score,0.6579307945331652,0.019957140422514414
KNN,Accuracy,0.6496579645399972,0.0313343867499101
KNN,Precision,0.7335184076193635,0.022096107861952076
KNN,Recall,0.6496082779009609,0.0315169136999492
KNN,F1 Score,0.6349054903177983,0.036088665640755704
Linear SVC,Accuracy,0.8116669814652093,0.006332592526740047
Linear SVC,Precision,0.808792040136358,0.006262552444952074
Linear SVC,Recall,0.8116752894801674,0.006363562443839052
Linear SVC,F1 Score,0.8081433096666523,0.006703449031744137
Naive Bayes,Accuracy,0.728631611795912,0.015048045314732002
Naive Bayes,Precision,0.7241582426065629,0.01783763764658924
Naive Bayes,Recall,0.7285981768908599,0.015335599292258684
Naive Bayes,F1 Score,0.7198327399366954,0.01597930154356079
Random Forest,Accuracy,0.7533328953527523,0.013437375055159498
Random Forest,Precision,0.7537232492772992,0.012992345096880567
Random Forest,Recall,0.7533357969943336,0.013579864808724374
Random Forest,F1 Score,0.7533951266040868,0.013259123336101799
