model,metric,score,std_dev
Linear SVC,Accuracy,0.8145018107759647,0.008696792114481164
Linear SVC,Precision,0.8121531988723252,0.009066126250377622
Linear SVC,Recall,0.8144764720374477,0.008842632932669755
Linear SVC,F1 Score,0.8121631185920251,0.00930723207239204
Decision Tree,Accuracy,0.6682756978262476,0.026118560447820533
Decision Tree,Precision,0.6684701585303786,0.027071447414994853
Decision Tree,Recall,0.6682951465878296,0.026116437448787045
Decision Tree,F1 Score,0.6680184208765934,0.0264845659427739
KNN,Accuracy,0.7808813264241896,0.012466844447985743
KNN,Precision,0.7841130325018055,0.012499270087111998
KNN,Recall,0.7808573540280856,0.0126256028285897
KNN,F1 Score,0.7753822729429221,0.012672740439468559
Random Forest,Accuracy,0.8408266335991328,0.01082684383573114
Random Forest,Precision,0.8410715939792652,0.010151145472973465
Random Forest,Recall,0.840840108401084,0.010895796955112058
Random Forest,F1 Score,0.8406373433762028,0.010521746854224088
Naive Bayes,Accuracy,0.728631611795912,0.015048045314732002
Naive Bayes,Precision,0.7241582426065629,0.01783763764658924
Naive Bayes,Recall,0.7285981768908599,0.015335599292258684
Naive Bayes,F1 Score,0.7198327399366954,0.01597930154356079
