model,metric,score,std_dev
Linear SVC,Accuracy,0.8985575098969856,0.007964201342200961
Linear SVC,Precision,0.8991192745525396,0.008586846626392173
Linear SVC,Recall,0.8985395973154363,0.008018479125566741
Linear SVC,F1 Score,0.8966094774177291,0.008003702159956452
Decision Tree,Accuracy,0.7475874979418566,0.014089213101985467
Decision Tree,Precision,0.7476891232142264,0.015278498116405867
Decision Tree,Recall,0.7476008948545861,0.01390474295671231
Decision Tree,F1 Score,0.7470290841092749,0.01461406139171377
KNN,Accuracy,0.8808914803599425,0.010505735255010154
KNN,Precision,0.8857298599196565,0.012008122527050935
KNN,Recall,0.8808769574944073,0.01051196008107112
KNN,F1 Score,0.8750630640110055,0.01149018109694589
Random Forest,Accuracy,0.9103308062911182,0.013340202764742199
Random Forest,Precision,0.9116226229706254,0.013117374092680087
Random Forest,Recall,0.9103463087248324,0.013366505467486023
Random Forest,F1 Score,0.9105751936522493,0.013191288884676577
Naive Bayes,Accuracy,0.8450214404856503,0.00905486103315025
Naive Bayes,Precision,0.8458362507956704,0.009473471875123391
Naive Bayes,Recall,0.8450255033557047,0.009101894290645977
Naive Bayes,F1 Score,0.8397065809582523,0.008940952089124677
